model,price,transmission,mileage,fuelType,tax,mpg,engineSize
 1 Series,15500,Manual,15645,Petrol,125,52.3,1.5
 1 Series,21500,Semi-Auto,19486,Petrol,145,39.8,3
 3 Series,14000,Semi-Auto,73923,Diesel,160,52.3,3
 1 Series,25990,Semi-Auto,6500,Petrol,150,32.5,3
 3 Series,24300,Semi-Auto,8000,Petrol,150,44.8,2
 5 Series,33000,Semi-Auto,12250,Diesel,150,53.3,3
 3 Series,19000,Semi-Auto,40500,Diesel,145,53.3,3
 3 Series,18000,Semi-Auto,33000,Diesel,145,60.1,2
 4 Series,19800,Manual,17410,Petrol,150,40.9,2
 1 Series,13500,Manual,25975,Petrol,145,53.3,1.5
 1 Series,18500,Semi-Auto,12054,Petrol,150,54.3,1.5
 1 Series,9300,Manual,51203,Diesel,30,65.7,2
 1 Series,11800,Manual,23274,Diesel,20,72.4,1.5
 4 Series,22000,Semi-Auto,10948,Diesel,145,60.1,2
 2 Series,27500,Semi-Auto,7000,Petrol,145,38.2,3
 5 Series,28000,Semi-Auto,16000,Diesel,145,60.1,3
 2 Series,29000,Manual,5550,Petrol,145,43.5,1.5
 3 Series,16800,Semi-Auto,50687,Diesel,160,52.3,3
 3 Series,15500,Semi-Auto,46500,Diesel,150,55.4,3
 1 Series,16998,Semi-Auto,12458,Diesel,30,62.8,2
 1 Series,21498,Semi-Auto,21200,Petrol,200,39.8,3
 4 Series,18998,Semi-Auto,20151,Diesel,145,53.3,3
 5 Series,27000,Semi-Auto,9000,Petrol,145,48.7,2
 2 Series,18000,Semi-Auto,13174,Diesel,145,49.6,2
 3 Series,25500,Semi-Auto,14834,Diesel,145,51.4,3
 3 Series,18000,Semi-Auto,15088,Diesel,145,55.4,3
 1 Series,16800,Semi-Auto,16761,Diesel,145,67.3,2
 3 Series,21300,Semi-Auto,18564,Diesel,145,60.1,2
 3 Series,34000,Semi-Auto,5525,Diesel,145,50.4,2
 3 Series,24000,Semi-Auto,15338,Diesel,145,49.6,3
 3 Series,14990,Semi-Auto,35500,Diesel,145,55.4,2
 5 Series,30000,Semi-Auto,11086,Diesel,145,53.3,3
 1 Series,15800,Semi-Auto,11132,Petrol,145,55.5,1.5
 1 Series,16500,Semi-Auto,7656,Petrol,145,37.2,1.5
