model,price,transmission,mileage,fuelType,tax,mpg,engineSize
 4 Series,32995,Manual,3500,Petrol,145,46.3,2
 2 Series,22950,Semi-Auto,8539,Petrol,145,50.4,1.5
 3 Series,12450,Manual,56523,Diesel,125,57.6,2
 5 Series,28950,Semi-Auto,15878,Diesel,150,53.3,3
 2 Series,15950,Manual,25652,Petrol,125,53.3,1.5
 4 Series,26950,Semi-Auto,3849,Diesel,145,60.1,2
 4 Series,26950,Semi-Auto,4842,Diesel,145,60.1,2
 4 Series,26950,Semi-Auto,8812,Diesel,145,60.1,2
 5 Series,31950,Semi-Auto,10776,Diesel,145,60.1,3
 4 Series,33495,Automatic,99,Petrol,145,48.7,2
 4 Series,34995,Automatic,3999,Petrol,145,41.5,3
 2 Series,20950,Manual,4434,Diesel,145,64.2,2
 1 Series,19950,Semi-Auto,9271,Petrol,145,47.9,2
 1 Series,12950,Manual,52647,Diesel,30,65.7,2
 5 Series,20950,Semi-Auto,37034,Diesel,150,65.7,2
 5 Series,29450,Semi-Auto,10,Petrol,145,36.2,2
 3 Series,22950,Manual,11,Diesel,145,58.9,2
 2 Series,23450,Semi-Auto,8,Diesel,145,67.3,2
 3 Series,29950,Semi-Auto,20,Petrol,145,41.5,2
 2 Series,23950,Semi-Auto,11,Petrol,145,50.4,1.5
 5 Series,30450,Semi-Auto,4885,Diesel,145,60.1,2
 4 Series,26450,Semi-Auto,3989,Petrol,145,45.6,2
 1 Series,22950,Semi-Auto,4811,Diesel,145,60.1,2
 4 Series,26950,Semi-Auto,10,Diesel,145,65.7,2
 3 Series,17450,Semi-Auto,16413,Diesel,30,62.8,2
 3 Series,31450,Semi-Auto,3000,Petrol,145,42.2,2
 1 Series,22950,Semi-Auto,14537,Diesel,150,60.1,2
 2 Series,24950,Semi-Auto,4534,Diesel,145,46.3,2
 1 Series,18950,Semi-Auto,7990,Diesel,145,68.9,1.5
 2 Series,20450,Semi-Auto,3344,Diesel,145,49.6,2
 4 Series,26450,Semi-Auto,3376,Diesel,145,60.1,2
 3 Series,23950,Semi-Auto,5445,Diesel,145,62.8,2
 3 Series,25950,Semi-Auto,2344,Diesel,145,62.8,2
 2 Series,21950,Semi-Auto,9275,Petrol,145,40.9,1.5
 2 Series,18450,Manual,7293,Diesel,145,54.3,2
 1 Series,21950,Manual,101,Diesel,145,70.6,1.5
 1 Series,18950,Manual,6675,Diesel,145,70.6,1.5
 1 Series,22871,Manual,3000,Petrol,145,41.5,1.5
 2 Series,34950,Semi-Auto,1107,Diesel,145,62.8,2
 2 Series,32450,Semi-Auto,1118,Diesel,145,51.4,2
 2 Series,22950,Manual,9688,Diesel,145,65.7,2
 2 Series,21950,Semi-Auto,7423,Diesel,145,65.7,2
 2 Series,24950,Semi-Auto,13,Diesel,145,62.8,2
 2 Series,25450,Semi-Auto,13,Diesel,145,62.8,2
 4 Series,30950,Semi-Auto,6212,Petrol,145,44.8,2
 2 Series,20950,Semi-Auto,6418,Petrol,145,47.9,2
 1 Series,18450,Semi-Auto,8644,Diesel,145,47.9,1.5
 2 Series,21950,Manual,10,Diesel,145,64.2,2
 3 Series,28450,Semi-Auto,13998,Petrol,145,42.2,2
 3 Series,28450,Semi-Auto,14850,Diesel,145,48.7,2
 1 Series,19950,Manual,10,Petrol,145,53.3,1.5
 3 Series,33450,Semi-Auto,5004,Diesel,145,49.6,2
 3 Series,33134,Semi-Auto,5,Diesel,145,52.3,2
 1 Series,20450,Semi-Auto,14602,Diesel,145,60.1,2
 5 Series,33495,Semi-Auto,4913,Diesel,145,51.4,3
 1 Series,16950,Semi-Auto,38178,Petrol,240,37.7,3
 3 Series,25950,Semi-Auto,3655,Diesel,150,52.3,2
 2 Series,12000,Manual,37847,Petrol,125,53.3,1.5
 3 Series,29500,Semi-Auto,5000,Diesel,145,48.7,2
 5 Series,24995,Semi-Auto,50195,Petrol,150,39.2,3
 2 Series,14000,Semi-Auto,19826,Petrol,150,55.4,1.5
 2 Series,14495,Semi-Auto,39326,Petrol,125,51.4,1.5
 5 Series,14789,Semi-Auto,44684,Diesel,125,60.1,2
 3 Series,17990,Automatic,27369,Diesel,160,51.4,3
 2 Series,19950,Semi-Auto,10206,Petrol,145,50.4,1.5
 3 Series,16950,Semi-Auto,28059,Diesel,30,62.8,2
 2 Series,17950,Semi-Auto,10816,Petrol,145,51.4,1.5
 2 Series,30450,Semi-Auto,20,Diesel,145,62.8,2
 4 Series,37450,Semi-Auto,10,Diesel,145,60.1,2
 5 Series,31450,Semi-Auto,500,Diesel,145,62.8,2
 1 Series,23450,Manual,10,Diesel,145,70.6,1.5
 3 Series,21450,Semi-Auto,5184,Diesel,145,64.2,2
 2 Series,29950,Semi-Auto,10,Diesel,145,48.7,2
 1 Series,26495,Semi-Auto,10,Petrol,145,42.8,1.5
 3 Series,39950,Semi-Auto,10,Diesel,145,48.7,2
 2 Series,26000,Semi-Auto,1501,Petrol,145,42.2,1.5
 1 Series,23000,Manual,2361,Petrol,145,41.5,1.5
 3 Series,31000,Semi-Auto,2974,Diesel,145,49.6,2
 4 Series,27000,Semi-Auto,100,Diesel,145,65.7,2
 3 Series,31000,Semi-Auto,100,Diesel,145,52.3,2
 2 Series,21000,Manual,50,Petrol,145,52.3,1.5
 1 Series,25000,Semi-Auto,1705,Diesel,145,51.4,2
 1 Series,15950,Manual,8004,Petrol,150,53.3,1.5
 3 Series,30950,Semi-Auto,3724,Diesel,145,52.3,2
 2 Series,21950,Semi-Auto,7211,Petrol,150,47.9,2
 1 Series,25950,Semi-Auto,6581,Diesel,145,67.3,2
 3 Series,29450,Semi-Auto,5392,Diesel,145,52.3,2
 1 Series,18000,Manual,6097,Petrol,145,53.3,1.5
 3 Series,27000,Semi-Auto,4814,Diesel,145,52.3,2
 3 Series,34000,Semi-Auto,1595,Diesel,145,50.4,2
 2 Series,14995,Manual,13250,Diesel,20,68.9,2
 1 Series,8995,Manual,56361,Diesel,30,62.8,2
 1 Series,33000,Semi-Auto,2250,Petrol,150,34.5,2
 2 Series,15995,Semi-Auto,24735,Diesel,30,62.8,2
 3 Series,32000,Semi-Auto,1798,Diesel,145,52.3,2
 3 Series,22995,Semi-Auto,8259,Petrol,145,48.7,2
 3 Series,11650,Semi-Auto,89096,Diesel,145,55.4,2
 1 Series,10540,Manual,69981,Petrol,125,53.3,1.5
 1 Series,11030,Manual,35321,Diesel,145,83.1,1.5
 3 Series,12360,Semi-Auto,68469,Diesel,125,57.6,2
 1 Series,13700,Automatic,20574,Diesel,145,70.6,2
 1 Series,18000,Manual,4696,Petrol,145,53.3,1.5
 3 Series,29999,Semi-Auto,9,Diesel,145,50.4,2
 3 Series,25999,Manual,4,Diesel,145,54.3,2
 4 Series,39225,Semi-Auto,10,Petrol,145,48.7,2
 4 Series,48155,Semi-Auto,10,Petrol,145,44.8,2
 2 Series,17450,Semi-Auto,31473,Diesel,145,55.4,2
 2 Series,28000,Semi-Auto,1501,Diesel,145,65.7,2
 1 Series,27000,Semi-Auto,1501,Diesel,145,51.4,2
 3 Series,28000,Manual,6899,Diesel,145,54.3,2
 3 Series,29000,Semi-Auto,8555,Petrol,145,40.9,2
 3 Series,19995,Semi-Auto,21657,Diesel,145,62.8,2
 5 Series,41070,Automatic,10,Diesel,145,65.7,2
 2 Series,33440,Automatic,10,Diesel,145,64.2,2
 4 Series,34995,Automatic,10,Petrol,145,45.6,2
 4 Series,34995,Automatic,10,Petrol,145,45.6,2
 5 Series,29888,Automatic,14139,Diesel,145,55.4,2
 3 Series,27999,Semi-Auto,6,Petrol,145,42.2,2
 2 Series,13995,Semi-Auto,42569,Diesel,20,68.9,1.5
 5 Series,29995,Semi-Auto,39000,Diesel,150,51.4,3
 4 Series,48155,Semi-Auto,10,Petrol,145,44.8,2
 1 Series,14000,Manual,32380,Diesel,30,65.7,2
 1 Series,14500,Manual,13681,Diesel,145,65.7,2
 2 Series,13000,Semi-Auto,47555,Diesel,30,65.7,2
 5 Series,13995,Semi-Auto,45850,Diesel,20,68.9,2
 2 Series,15450,Manual,20663,Petrol,30,55.4,1.5
 2 Series,28950,Semi-Auto,10,Petrol,145,40.9,1.5
 3 Series,39950,Semi-Auto,10,Diesel,145,48.7,2
 1 Series,23500,Semi-Auto,3000,Petrol,145,40.4,1.5
 3 Series,25450,Semi-Auto,16735,Diesel,145,51.4,3
 1 Series,16888,Automatic,11747,Diesel,145,72.4,1.5
 5 Series,39995,Automatic,10,Hybrid,135,156.9,2
 4 Series,33995,Automatic,10,Diesel,145,60.1,2
 4 Series,32995,Automatic,10,Petrol,145,48.7,2
 4 Series,39995,Automatic,10,Diesel,145,60.1,2
 2 Series,22995,Manual,10,Petrol,145,42.8,1.5
 2 Series,26972,Manual,10,Petrol,145,52.3,1.5
 3 Series,27495,Manual,1841,Diesel,145,54.3,2
 4 Series,34995,Automatic,10,Petrol,145,48.7,2
 4 Series,39995,Automatic,10,Diesel,145,50.4,3
 1 Series,16888,Automatic,8503,Diesel,145,72.4,1.5
 1 Series,18995,Semi-Auto,24075,Petrol,235,37.7,3
 1 Series,13995,Semi-Auto,42430,Diesel,145,70.6,2
 3 Series,13995,Semi-Auto,67319,Diesel,30,62.8,2
 3 Series,39995,Automatic,999,Petrol,145,34.9,3
 1 Series,23295,Semi-Auto,4694,Diesel,150,57.7,1.5
 3 Series,12995,Manual,37333,Diesel,150,55.4,2
 1 Series,13995,Semi-Auto,41397,Diesel,30,65.7,2
 3 Series,20995,Semi-Auto,20400,Hybrid,140,134.5,2
 4 Series,20995,Semi-Auto,14972,Petrol,150,45.6,2
 4 Series,25488,Automatic,5627,Petrol,145,45.6,2
 3 Series,34995,Automatic,5873,Diesel,145,50.4,2
 4 Series,29995,Automatic,999,Diesel,145,53.3,3
 1 Series,27888,Automatic,999,Diesel,145,51.4,2
 4 Series,30450,Automatic,10638,Petrol,145,39.2,3
 3 Series,33995,Semi-Auto,7974,Hybrid,135,8.8,2
 3 Series,19495,Semi-Auto,29125,Diesel,150,56.5,3
 3 Series,31995,Automatic,999,Petrol,145,42.2,2
 1 Series,19995,Manual,26574,Petrol,150,46.3,2
 3 Series,16995,Semi-Auto,67000,Diesel,200,49.6,3
 1 Series,23000,Semi-Auto,13783,Petrol,150,39.8,3
 4 Series,34590,Automatic,999,Petrol,145,45.6,2
 1 Series,19888,Manual,999,Diesel,145,72.4,1.5
 3 Series,18888,Automatic,17749,Diesel,145,56.5,3
 1 Series,15995,Manual,15992,Diesel,30,65.7,2
 5 Series,40995,Semi-Auto,2712,Hybrid,145,55.4,2
 2 Series,22995,Manual,999,Petrol,145,42.2,1.5
 3 Series,30888,Manual,999,Diesel,145,54.3,2
 5 Series,30995,Automatic,999,Diesel,145,65.7,2
 3 Series,33888,Automatic,999,Diesel,145,50.4,2
 4 Series,39891,Automatic,5806,Diesel,145,51.4,3
 1 Series,26991,Manual,3250,Petrol,145,41.5,1.5
 5 Series,31780,Semi-Auto,13384,Diesel,145,60.1,3
 3 Series,30761,Semi-Auto,3465,Diesel,150,52.3,2
 2 Series,19350,Automatic,10500,Diesel,145,51.4,2
 3 Series,29754,Semi-Auto,8853,Diesel,145,52.3,2
 1 Series,21712,Automatic,25500,Petrol,145,39.8,3
 2 Series,23113,Semi-Auto,8039,Petrol,145,47.9,2
 1 Series,13831,Manual,20112,Petrol,150,53.3,1.5
 1 Series,20081,Semi-Auto,32000,Petrol,200,39.8,3
 1 Series,14995,Manual,16366,Diesel,150,65.7,2
 3 Series,21995,Semi-Auto,18000,Diesel,145,62.8,2
 3 Series,34995,Semi-Auto,11,Diesel,145,49.6,2
 3 Series,38555,Semi-Auto,11,Petrol,145,34.9,3
 3 Series,41555,Semi-Auto,9,Petrol,145,33.6,3
 2 Series,36771,Semi-Auto,485,Petrol,145,36.2,2
 4 Series,14941,Semi-Auto,49460,Petrol,165,44.1,2
 3 Series,12331,Semi-Auto,41000,Diesel,30,62.8,2
 2 Series,16932,Semi-Auto,16132,Diesel,150,64.2,2
 1 Series,31791,Semi-Auto,6000,Petrol,150,34.5,2
 2 Series,24461,Semi-Auto,5190,Petrol,150,32.5,3
 5 Series,28370,Semi-Auto,6251,Petrol,145,50.4,2
 3 Series,32050,Automatic,4700,Diesel,145,52.3,2
 1 Series,30900,Automatic,5345,Petrol,145,34.5,2
 3 Series,41490,Automatic,4830,Diesel,145,43.5,3
 3 Series,38991,Semi-Auto,132,Diesel,145,52.3,2
 3 Series,13960,Automatic,33330,Diesel,125,60.1,2
 1 Series,13720,Manual,9617,Petrol,150,53.3,1.5
 5 Series,36162,Semi-Auto,9270,Petrol,145,39.2,3
 4 Series,29920,Semi-Auto,5732,Diesel,145,60.1,2
 4 Series,27970,Semi-Auto,7383,Petrol,145,48.7,2
 1 Series,11295,Automatic,27054,Diesel,20,72.4,1.5
 2 Series,23872,Semi-Auto,1105,Diesel,145,52.3,2
 2 Series,23242,Manual,10,Petrol,145,52.3,1.5
 2 Series,22753,Semi-Auto,8020,Diesel,145,65.7,2
 2 Series,23722,Semi-Auto,123,Diesel,145,49.6,2
 3 Series,29822,Semi-Auto,1020,Diesel,145,52.3,2
 1 Series,29450,Semi-Auto,3743,Petrol,145,34.5,2
 1 Series,20172,Semi-Auto,5500,Petrol,145,54.3,1.5
 3 Series,14671,Semi-Auto,27604,Petrol,200,43.5,2
 2 Series,18490,Semi-Auto,14440,Diesel,145,64.2,2
 3 Series,15290,Semi-Auto,42328,Diesel,30,62.8,2
 1 Series,15495,Manual,7950,Petrol,145,37.7,1.5
 4 Series,19995,Semi-Auto,21888,Diesel,145,55.4,3
 2 Series,14995,Semi-Auto,56010,Diesel,125,57.6,2
 3 Series,21991,Semi-Auto,12245,Petrol,145,47.9,2
 5 Series,25995,Semi-Auto,15255,Hybrid,135,156.9,2
 1 Series,14650,Manual,12616,Diesel,30,65.7,2
 2 Series,16110,Semi-Auto,28280,Petrol,125,53.3,1.5
 3 Series,14504,Manual,35210,Diesel,30,64.2,2
 3 Series,13987,Manual,22030,Petrol,150,49.6,1.5
 1 Series,14652,Manual,9461,Diesel,20,70.6,1.5
 3 Series,17640,Semi-Auto,28590,Diesel,145,56.5,3
 5 Series,22490,Semi-Auto,36549,Diesel,30,65.7,2
 5 Series,21790,Automatic,27744,Diesel,145,60.1,2
 2 Series,21990,Automatic,8351,Hybrid,135,148.7,1.5
 2 Series,22450,Automatic,11275,Hybrid,135,148.7,1.5
 2 Series,19490,Automatic,5809,Diesel,145,51.4,2
 1 Series,22890,Semi-Auto,1581,Diesel,145,74.3,2
 1 Series,21990,Semi-Auto,1540,Diesel,145,78.5,1.5
 2 Series,12950,Manual,36633,Diesel,20,74.3,1.5
 4 Series,24888,Manual,8129,Petrol,145,46.3,2
 2 Series,16990,Semi-Auto,27589,Diesel,30,62.8,2
 3 Series,31990,Automatic,9850,Diesel,145,52.3,2
 3 Series,34990,Automatic,7250,Diesel,145,49.6,2
 2 Series,25950,Automatic,5000,Diesel,145,48.7,2
 3 Series,31995,Automatic,7693,Diesel,145,52.3,2
 4 Series,30888,Automatic,3309,Diesel,145,60.1,2
 1 Series,22995,Semi-Auto,12537,Petrol,145,39.8,3
 5 Series,14790,Semi-Auto,40715,Diesel,30,62.8,2
 3 Series,15790,Manual,35238,Diesel,30,64.2,2
 2 Series,21890,Semi-Auto,25223,Petrol,200,39.8,3
 3 Series,29890,Automatic,5211,Diesel,145,52.3,2
 3 Series,31990,Automatic,5,Petrol,145,42.2,2
 2 Series,28995,Semi-Auto,5,Diesel,145,67.3,2
 5 Series,22490,Semi-Auto,26002,Diesel,145,68.9,2
 2 Series,28490,Semi-Auto,5,Petrol,145,50.4,2
 1 Series,32990,Semi-Auto,6870,Diesel,145,48.7,2
 4 Series,31990,Automatic,7800,Petrol,145,44.8,2
 2 Series,29990,Automatic,6300,Hybrid,135,113,1.5
 3 Series,21990,Semi-Auto,8426,Petrol,145,48.7,2
 4 Series,21990,Semi-Auto,20611,Diesel,145,60.1,2
 3 Series,30950,Semi-Auto,7586,Petrol,145,41.5,2
 3 Series,14882,Semi-Auto,63820,Diesel,165,49.6,3
 3 Series,35990,Automatic,6393,Diesel,145,52.3,2
 3 Series,29990,Automatic,7337,Diesel,145,52.3,2
 1 Series,33990,Automatic,9599,Petrol,145,34.5,2
 3 Series,32990,Automatic,9892,Diesel,145,48.7,2
 1 Series,31990,Automatic,4920,Petrol,145,34.5,2
 3 Series,39390,Automatic,8945,Diesel,145,43.5,3
 4 Series,30990,Automatic,9897,Diesel,145,53.3,3
 4 Series,26990,Semi-Auto,7,Petrol,145,48.7,2
 3 Series,34990,Semi-Auto,4100,Petrol,145,41.5,2
 1 Series,16790,Manual,15468,Petrol,145,46.3,2
 3 Series,36990,Semi-Auto,2475,Petrol,145,40.4,2
 1 Series,32995,Semi-Auto,5,Diesel,145,48.7,2
 3 Series,13441,Manual,38000,Diesel,30,61.4,2
 3 Series,14522,Semi-Auto,67000,Diesel,125,58.9,2
 2 Series,13522,Manual,53207,Diesel,20,68.9,1.5
 2 Series,19870,Manual,123,Petrol,145,42.8,1.5
 2 Series,14690,Semi-Auto,24997,Diesel,20,68.9,2
 1 Series,10690,Manual,61676,Diesel,20,70.6,2
 3 Series,33990,Semi-Auto,9598,Diesel,150,47.9,3
 1 Series,22890,Manual,5463,Petrol,150,41.5,1.5
 1 Series,22890,Manual,5842,Petrol,150,41.5,1.5
 1 Series,22890,Manual,11506,Petrol,150,41.5,1.5
 1 Series,22500,Manual,7781,Petrol,150,41.5,1.5
 3 Series,42995,Automatic,1606,Petrol,145,34.9,3
 5 Series,30995,Semi-Auto,999,Hybrid,145,49.6,2
 4 Series,26750,Semi-Auto,2986,Diesel,150,65.7,2
 2 Series,27500,Semi-Auto,1086,Petrol,150,42.2,1.5
 1 Series,20750,Manual,4619,Petrol,150,44.1,1.5
 3 Series,33250,Semi-Auto,8496,Diesel,145,47.9,3
 2 Series,19500,Automatic,5746,Petrol,150,42.2,1.5
 1 Series,14250,Manual,18372,Petrol,125,52.3,1.5
 3 Series,12999,Semi-Auto,45191,Diesel,125,58.9,2
 1 Series,13888,Manual,40014,Diesel,20,70.6,1.5
 3 Series,32888,Automatic,13136,Petrol,145,42.2,2
 5 Series,34888,Automatic,948,Diesel,145,55.4,2
 1 Series,28888,Automatic,999,Diesel,145,48.7,2
 3 Series,29888,Manual,2454,Diesel,145,54.3,2
 4 Series,29888,Manual,999,Petrol,145,46.3,2
 2 Series,11495,Manual,26883,Petrol,125,52.3,1.5
 1 Series,11725,Manual,32000,Diesel,20,72.4,1.5
 2 Series,10400,Manual,72890,Petrol,125,53.3,1.5
 3 Series,26450,Semi-Auto,2754,Diesel,150,52.3,2
 3 Series,27450,Semi-Auto,7491,Petrol,150,41.5,2
 1 Series,25990,Semi-Auto,6596,Diesel,150,51.4,2
 1 Series,15888,Automatic,20890,Diesel,145,68.9,2
 3 Series,31000,Semi-Auto,986,Diesel,150,50.4,2
 3 Series,35000,Semi-Auto,1986,Petrol,145,40.4,2
 1 Series,19000,Semi-Auto,42657,Petrol,200,39.8,3
 4 Series,24750,Semi-Auto,4642,Petrol,145,45.6,2
 2 Series,16250,Semi-Auto,23374,Diesel,150,65.7,2
 3 Series,17995,Semi-Auto,40456,Diesel,145,64.2,2
 3 Series,25888,Automatic,2258,Diesel,145,62.8,2
 1 Series,17888,Automatic,999,Petrol,145,55.5,1.5
 4 Series,28888,Automatic,3419,Diesel,145,60.1,2
 4 Series,15888,Manual,38000,Diesel,125,57.6,2
 3 Series,24888,Semi-Auto,7298,Diesel,145,51.4,3
 3 Series,34000,Semi-Auto,4986,Diesel,145,47.9,3
 2 Series,34000,Semi-Auto,2986,Petrol,145,36.2,2
 5 Series,25000,Automatic,18677,Diesel,145,60.1,3
 5 Series,30500,Semi-Auto,8993,Hybrid,135,156.9,2
 3 Series,26000,Semi-Auto,4315,Petrol,145,42.2,2
 3 Series,26000,Semi-Auto,5358,Diesel,145,52.3,2
 3 Series,16500,Semi-Auto,38620,Diesel,150,64.2,2
 5 Series,13686,Automatic,77715,Diesel,160,52.3,3
 2 Series,20952,Semi-Auto,42912,Petrol,150,47.9,2
 4 Series,18062,Semi-Auto,49745,Diesel,165,50.4,3
 1 Series,20750,Manual,5692,Petrol,145,44.1,1.5
 5 Series,36500,Semi-Auto,1475,Petrol,150,39.2,3
 1 Series,20750,Manual,5225,Petrol,150,44.1,1.5
 1 Series,20750,Manual,6860,Petrol,150,44.1,1.5
 1 Series,27840,Semi-Auto,150,Diesel,145,51.4,2
 4 Series,32440,Manual,3792,Diesel,145,62.8,2
 2 Series,36840,Semi-Auto,2422,Petrol,145,36.2,2
 4 Series,39250,Semi-Auto,151,Diesel,150,47.9,3
 1 Series,10991,Semi-Auto,46439,Petrol,150,48.7,1.6
 4 Series,19350,Automatic,18399,Diesel,30,64.2,2
 3 Series,18391,Semi-Auto,31116,Hybrid,0,134.5,2
 3 Series,29464,Semi-Auto,4251,Petrol,145,42.2,2
 1 Series,30420,Semi-Auto,10159,Petrol,145,34.5,2
 3 Series,16995,Manual,28700,Petrol,150,47.9,2
 1 Series,14500,Manual,13681,Diesel,150,65.7,2
 2 Series,19495,Manual,4824,Petrol,150,52.3,1.5
 2 Series,19495,Manual,7937,Petrol,150,54.3,1.5
 2 Series,28630,Semi-Auto,2564,Diesel,145,67.3,2
 1 Series,10462,Manual,29260,Petrol,145,50.4,1.6
 1 Series,14881,Manual,42452,Diesel,30,62.8,2
 3 Series,14982,Automatic,45909,Diesel,30,62.8,2
 4 Series,19841,Semi-Auto,30968,Petrol,160,44.1,2
 1 Series,22890,Manual,10927,Petrol,150,41.5,1.5
 5 Series,15499,Semi-Auto,43013,Diesel,30,62.8,2
 4 Series,22652,Semi-Auto,33766,Petrol,200,41.5,3
 5 Series,23941,Semi-Auto,23095,Diesel,125,60.1,2
 2 Series,18012,Semi-Auto,13642,Diesel,125,57.6,2
 2 Series,13881,Manual,25283,Petrol,150,47.9,2
 3 Series,27555,Manual,7887,Diesel,145,54.3,2
 3 Series,11072,Manual,78852,Diesel,30,62.8,2
 3 Series,19641,Semi-Auto,23503,Diesel,160,51.4,3
 2 Series,21876,Automatic,7910,Diesel,145,64.2,2
 4 Series,18536,Automatic,32814,Petrol,145,48.7,2
 2 Series,24690,Semi-Auto,7338,Petrol,150,47.9,2
 4 Series,19990,Semi-Auto,35900,Diesel,125,60.1,2
 3 Series,20990,Semi-Auto,36000,Hybrid,135,134.5,2
 4 Series,27669,Manual,151,Diesel,150,62.8,2
 2 Series,17965,Semi-Auto,20379,Diesel,125,60.1,2
 3 Series,9942,Manual,97185,Diesel,30,65.7,2
 3 Series,16641,Semi-Auto,49396,Petrol,160,44.1,2
 3 Series,21444,Semi-Auto,6329,Diesel,145,55.4,2
 5 Series,32600,Semi-Auto,8260,Hybrid,140,156.9,2
 3 Series,26500,Semi-Auto,7120,Petrol,150,47.9,2
 3 Series,16999,Manual,7000,Diesel,145,67.3,2
 3 Series,28999,Automatic,11681,Diesel,145,52.3,2
 4 Series,30140,Automatic,7583,Diesel,145,60.1,2
 3 Series,34700,Semi-Auto,6006,Diesel,145,49.6,2
 4 Series,31210,Automatic,4300,Diesel,145,53.3,3
 3 Series,18999,Automatic,11749,Diesel,145,62.8,2
 1 Series,16555,Manual,9451,Diesel,145,68.9,2
 1 Series,18999,Automatic,1000,Diesel,145,70.6,2
 4 Series,29582,Automatic,5684,Petrol,145,41.5,3
 4 Series,27700,Manual,110,Petrol,145,46.3,2
 1 Series,14445,Automatic,21500,Diesel,145,72.4,1.5
 3 Series,14995,Automatic,44000,Diesel,145,56.5,3
 1 Series,15500,Semi-Auto,37753,Diesel,20,67.3,2
 5 Series,26000,Semi-Auto,43533,Diesel,150,53.3,3
 5 Series,24999,Semi-Auto,17371,Diesel,145,62.8,2
 3 Series,27999,Automatic,9214,Diesel,145,52.3,2
 5 Series,28999,Automatic,13000,Petrol,145,47.9,2
 2 Series,20860,Manual,5684,Petrol,145,42.8,1.5
 2 Series,20850,Manual,3993,Petrol,145,42.8,1.5
 2 Series,23150,Semi-Auto,5035,Diesel,145,49.6,2
 2 Series,20950,Manual,2178,Diesel,145,51.4,2
 3 Series,41995,Automatic,4300,Petrol,145,33.6,3
 3 Series,29999,Automatic,12143,Diesel,145,52.3,2
 2 Series,27995,Automatic,110,Diesel,145,64.2,2
 5 Series,26888,Automatic,8070,Diesel,145,65.7,2
 4 Series,26995,Manual,110,Petrol,145,46.3,2
 2 Series,20555,Automatic,9736,Petrol,145,50.4,2
 2 Series,20999,Automatic,37,Petrol,145,47.9,2
 4 Series,22680,Automatic,9820,Petrol,145,45.6,2
 3 Series,35150,Automatic,5920,Diesel,145,47.9,3
 3 Series,31630,Automatic,4400,Diesel,145,52.3,2
 3 Series,28000,Semi-Auto,8653,Petrol,145,46.3,2
 3 Series,32999,Automatic,4418,Diesel,145,49.6,2
 4 Series,31845,Semi-Auto,6155,Diesel,145,47.9,3
 3 Series,23222,Semi-Auto,11010,Diesel,145,54.3,2
 5 Series,29999,Automatic,3936,Petrol,145,47.9,2
 2 Series,20999,Semi-Auto,4923,Petrol,145,47.9,2
 3 Series,27999,Automatic,14590,Diesel,145,52.3,2
 3 Series,31995,Manual,894,Diesel,145,54.3,2
 2 Series,27995,Automatic,99,Diesel,145,47.1,2
 5 Series,29995,Automatic,1000,Petrol,145,50.4,2
 5 Series,29990,Semi-Auto,12,Hybrid,150,62.8,2
 3 Series,32995,Semi-Auto,10,Diesel,145,50.4,2
 5 Series,33444,Semi-Auto,4118,Petrol,145,46.3,2
 2 Series,20999,Manual,4524,Petrol,145,57.6,1.5
 1 Series,21999,Semi-Auto,2040,Petrol,145,43.5,1.5
 1 Series,25999,Semi-Auto,575,Diesel,145,62.8,2
 1 Series,22222,Manual,397,Petrol,145,44.1,1.5
 2 Series,18999,Automatic,254,Petrol,145,38.2,2
 4 Series,28999,Semi-Auto,1000,Diesel,145,65.7,2
 3 Series,29555,Automatic,5035,Diesel,145,50.4,2
 4 Series,31995,Manual,110,Diesel,145,55.4,2
 4 Series,35000,Automatic,110,Diesel,145,65.7,2
 4 Series,22999,Automatic,1000,Diesel,145,60.1,2
 5 Series,16750,Semi-Auto,27563,Petrol,160,46.3,2
 2 Series,16995,Semi-Auto,37573,Diesel,145,55.4,2
 1 Series,9995,Manual,33731,Diesel,20,68.9,2
 3 Series,21995,Semi-Auto,25542,Diesel,160,51.4,3
 3 Series,34995,Semi-Auto,4255,Diesel,145,49.6,2
 3 Series,25995,Semi-Auto,5687,Diesel,145,52.3,2
 3 Series,14995,Semi-Auto,40781,Diesel,125,61.4,2
 3 Series,27990,Manual,3319,Diesel,145,54.3,2
 1 Series,21999,Semi-Auto,1591,Petrol,145,43.5,1.5
 3 Series,34999,Automatic,20329,Diesel,145,48.7,2
 3 Series,14999,Manual,26307,Petrol,145,47.9,2
 3 Series,18700,Semi-Auto,42565,Diesel,145,64.2,2
 3 Series,27000,Semi-Auto,12513,Diesel,145,51.4,3
 1 Series,12295,Semi-Auto,56000,Diesel,20,67.3,2
 1 Series,13908,Semi-Auto,13708,Diesel,20,68.9,1.5
 5 Series,27500,Semi-Auto,3627,Hybrid,135,156.9,2
 3 Series,19500,Semi-Auto,9377,Hybrid,0,134.5,2
 2 Series,19500,Automatic,4330,Petrol,145,42.2,1.5
 2 Series,22000,Automatic,5436,Diesel,145,67.3,2
 2 Series,19500,Automatic,3622,Petrol,145,42.2,1.5
 5 Series,29555,Automatic,15094,Diesel,145,65.7,2
 3 Series,21500,Semi-Auto,13058,Diesel,150,60.1,2
 3 Series,15800,Manual,23293,Diesel,145,55.4,2
 3 Series,17995,Semi-Auto,43417,Diesel,160,51.4,3
 4 Series,29500,Semi-Auto,10,Petrol,145,48.7,2
